"","country","-1","0.01","0.018","0.028","0.036","0.046","0.056","0.064","0.074","0.084","0.092","fao","yields_chosen","k_est"
"1","Albania","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"2","Algeria","2.16","0.55","0.98","1.52","1.95","2.48","3.03","3.43","3.95","4.47","4.88","3.49","3.43","0.064"
"3","Austria","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"4","Bosnia_and_Herzegovina","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"5","Bulgaria","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"6","Croatia","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"7","Cyprus","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"8","Egypt","0.02","0.01","0.02","0.02","0.02","0.02","0.03","0.03","0.04","0.04","0.04","35.29","0.04","0.092"
"9","France","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"10","Greece","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"11","Hungary","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"12","Israel","4.92","1.3","2.3","3.5","4.44","5.53","6.7","7.52","8.59","9.53","10.31","5.58","5.53","0.046"
"13","Italy","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"14","Lebanon","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"15","Libya","2.02","0.53","0.94","1.45","1.84","2.29","2.69","3.14","3.62","4.12","4.34","5.64","4.34","0.092"
"16","Luxembourg","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"17","Macedonia","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"18","Montenegro","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"19","Morocco","2.75","0.7","1.25","1.93","2.48","3.15","3.75","4.35","5.01","5.66","6.18","1.7","1.93","0.028"
"20","Romania","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"21","Serbia","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"22","Slovakia","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"23","Slovenia","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"24","Spain","0","0","0","0","0","0","0","0","0","0","0","4.96","0","-1"
"25","Switzerland","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"26","Syria","2.92","0.76","1.34","2.04","2.63","3.35","4.09","4.52","5.23","5.86","6.35","7.95","6.35","0.092"
"27","Tunisia","2.2","0.56","1.01","1.55","1.99","2.53","3.08","3.5","4.02","4.54","4.96","3.14","3.08","0.056"
"28","Turkey","0.88","0.22","0.4","0.62","0.79","1.01","1.22","1.38","1.58","1.78","1.93","3.05","1.93","0.092"
"29","Uganda","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"30","West_Bank","4.77","1.24","2.2","3.35","4.28","5.41","6.57","7.38","8.53","9.5","10.36",NA,NA,NA
