"","country","-1","0.2","0.344","0.489","0.633","0.778","0.922","1.067","1.211","1.356","1.5","fao","yields_chosen","k_est"
"1","Albania","4","1.22","1.9","2.57","3.29","3.86","4.51","5.14","5.7","6.15","6.84","17.78","6.84","1.5"
"2","Algeria","17.02","4.36","7.48","10.55","13.58","16.56","19.5","22.41","25.29","28.09","30.85","4.71","4.36","0.2"
"3","Austria","7.75","1.94","3.34","4.67","6.2","7.52","8.83","10.09","11.31","12.43","13.48","7.41","7.52","0.778"
"4","Bosnia_and_Herzegovina","8.66","2.24","3.82","5.41","6.97","8.47","9.86","11.26","12.61","14.03","15.47","4.19","3.82","0.344"
"5","Bulgaria","4.28","1.25","1.98","2.73","3.65","4.15","4.88","5.81","6.57","7.22","7.66","3.07","2.73","0.489"
"6","Croatia","8.13","2.11","3.63","5.1","6.52","7.94","9.25","10.66","11.94","13.25","14.95","6","6.52","0.633"
"7","Cyprus","19.92","5.16","8.82","12.4","15.95","19.41","22.8","26.15","29.38","32.5","35.63","4.45","5.16","0.2"
"8","Egypt","0.31","0.1","0.14","0.19","0.24","0.3","0.37","0.38","0.43","0.49","0.49","21.21","0.49","1.356"
"9","France","7.29","1.91","3.24","4.56","5.81","7.17","8.42","9.51","10.64","11.76","12.95","7.96","8.42","0.922"
"10","Greece","5.35","1.61","2.53","3.4","4.36","5.39","6.35","7.05","8.39","9.07","10.02","9.45","9.07","1.356"
"11","Hungary","6.94","1.8","3.13","4.38","5.56","6.75","7.9","9.03","10.11","11.19","12.21","7.27","6.94","-1"
"12","Israel","21.69","5.59","9.58","13.48","17.37","21.09","24.51","28.54","31.96","35.23","38.33","18.34","17.37","0.633"
"13","Italy","7.71","2.06","3.44","4.82","6.23","7.46","8.99","10.12","11.4","12.64","13.68","10.05","10.12","1.067"
"14","Lebanon","3.69","0.97","1.54","2.25","2.32","3.44","4.36","5.03","5.75","5.99","6.57","8.54","6.57","1.5"
"15","Libya","11.36","2.98","5.09","7.15","9.12","11.05","12.33","14.95","16.67","18.55","20.08","4.19","5.09","0.344"
"16","Luxembourg","5.46","1.39","2.45","3.38","4.41","5.42","6.31","7.09","7.88","8.95","9.81","14.15","9.81","1.5"
"17","Macedonia","5.57","1.68","2.58","3.56","4.48","5.39","6.54","7.5","8.3","9.15","10.14","9.61","9.15","1.356"
"18","Montenegro","7.19","1.89","3.19","4.48","5.78","6.95","8.24","9.45","10.62","13.42","14.83",NA,NA,NA
"19","Morocco","22.7","5.83","9.99","14.08","18.13","22.12","25.69","29.87","33.64","37.38","41.06","6.1","5.83","0.2"
"20","Romania","5.47","1.56","2.59","3.56","4.5","5.34","6.16","6.99","7.64","8.42","9.04","4.87","4.5","0.633"
"21","Serbia","6.61","1.74","2.95","4.15","5.3","6.42","7.56","8.57","9.67","10.68","11.63","5.16","5.3","0.633"
"22","Slovakia","7.4","1.94","3.34","4.62","5.94","7.21","8.43","9.7","10.99","12.03","13.13","4.35","4.62","0.489"
"23","Slovenia","8.21","2.1","3.63","5.09","6.59","7.9","9.31","10.74","12.09","13.45","14.8","7.26","7.9","0.778"
"24","Spain","4.28","1.42","2.12","2.89","3.5","4.17","4.83","5.5","6.22","6.85","7.42","5.44","5.5","1.067"
"25","Switzerland","5.95","1.45","2.56","3.68","4.71","5.77","6.79","7.81","8.8","9.83","10.85","9.37","9.83","1.356"
"26","Syria","2.48","0.72","1.1","1.37","1.94","2.42","2.63","3.5","3.68","4.01","4.68","5.82","4.68","1.5"
"27","Tunisia","17.2","4.39","7.55","10.65","13.71","16.72","19.68","22.63","25.53","28.37","31.2","4.62","4.39","0.2"
"28","Turkey","1.78","0.65","0.83","1.08","1.39","1.66","2","2.28","2.66","2.99","3.34","7.28","3.34","1.5"
"29","Uganda","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"30","West_Bank","4.89","1.24","2.33","3.05","4.02","4.82","5.61","6.38","7.16","7.95","8.92",NA,NA,NA
