"","country","-1","0.01","0.018","0.028","0.036","0.046","0.056","0.064","0.074","0.084","0.092","fao","yields_chosen","k_est"
"1","Albania","1.05","0.27","0.48","0.74","0.95","1.2","1.45","1.66","1.92","2.15","2.36",NA,NA,NA
"2","Algeria","0.45","0.13","0.21","0.32","0.41","0.52","0.63","0.71","0.81","0.92","1.01","0.96","1.01","0.092"
"3","Austria","0.57","0.14","0.26","0.4","0.52","0.66","0.8","0.91","1.05","1.19","1.3",NA,NA,NA
"4","Bosnia_and_Herzegovina","0.5","0.13","0.23","0.35","0.46","0.6","0.71","0.8","0.93","1.05","1.17","0.43","0.46","0.036"
"5","Bulgaria","0.27","0.1","0.15","0.21","0.25","0.29","0.33","0.37","0.41","0.46","0.49","0.21","0.21","0.028"
"6","Croatia","0.39","0.12","0.18","0.27","0.35","0.46","0.57","0.65","0.74","0.86","0.93","5.11","0.93","0.092"
"7","Cyprus","0","0","0","0","0","0","0","0","0","0","0","0.22","0","-1"
"8","Egypt","0.02","0.01","0.01","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02",NA,NA,NA
"9","France","1.18","0.29","0.52","0.82","1.06","1.36","1.66","1.9","2.2","2.49","2.73","2.3","2.2","0.074"
"10","Greece","0.67","0.19","0.32","0.48","0.61","0.75","0.9","1","1.14","1.28","1.39","2.25","1.39","0.092"
"11","Hungary","0.22","0.08","0.12","0.16","0.19","0.24","0.27","0.33","0.37","0.42","0.46","0.85","0.46","0.092"
"12","Israel","1.53","0.4","0.71","1.08","1.39","1.75","2.11","2.46","2.77","3.1","3.43","2.98","3.1","0.084"
"13","Italy","1","0.27","0.46","0.7","0.9","1.15","1.41","1.59","1.83","2.07","2.26","1.3","1.41","0.056"
"14","Lebanon","1.38","0.36","0.63","0.98","1.25","1.59","1.97","2.17","2.5","2.82","3.07","4.34","3.07","0.092"
"15","Libya","0.53","0.14","0.24","0.37","0.48","0.6","0.73","0.83","0.95","1.09","1.17","0.53","0.53","-1"
"16","Luxembourg","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"17","Macedonia","0.29","0.1","0.15","0.22","0.27","0.33","0.42","0.43","0.5","0.56","0.61","1.71","0.61","0.092"
"18","Montenegro","0.35","0.1","0.16","0.24","0.32","0.39","0.48","0.55","0.64","0.73","0.79",NA,NA,NA
"19","Morocco","0.61","0.16","0.28","0.43","0.55","0.69","0.84","0.96","1.1","1.25","1.37","0.58","0.55","0.036"
"20","Romania","0.12","0.08","0.09","0.11","0.12","0.12","0.12","0.13","0.14","0.15","0.17",NA,NA,NA
"21","Serbia","0.24","0.1","0.14","0.18","0.22","0.26","0.32","0.36","0.41","0.44","0.48",NA,NA,NA
"22","Slovakia","0.34","0.11","0.17","0.24","0.31","0.39","0.46","0.53","0.62","0.69","0.76",NA,NA,NA
"23","Slovenia","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"24","Spain","0.65","0.18","0.3","0.46","0.59","0.74","0.89","1.02","1.17","1.32","1.44","0.36","0.3","0.018"
"25","Switzerland","0.7","0.16","0.31","0.49","0.62","0.81","1.03","1.13","1.29","1.46","1.62",NA,NA,NA
"26","Syria","0.36","0.1","0.17","0.26","0.33","0.41","0.49","0.55","0.62","0.7","0.75","3.1","0.75","0.092"
"27","Tunisia","0.19","0.06","0.09","0.13","0.17","0.21","0.26","0.3","0.33","0.38","0.41","0.27","0.26","0.056"
"28","Turkey","0.41","0.12","0.2","0.3","0.37","0.46","0.56","0.62","0.7","0.78","0.85","2.63","0.85","0.092"
"29","Uganda","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"30","West_Bank","0.35","0.1","0.17","0.25","0.31","0.38","0.48","0.53","0.61","0.73","0.73",NA,NA,NA
