"","country","-1","0.008","0.014","0.021","0.027","0.034","0.042","0.048","0.056","0.063","0.069","fao","yields_chosen","k_est"
"1","Albania","2.49","0.62","1.1","1.73","2.24","2.89","3.57","4.05","4.72","5.39","5.92","1.27","1.1","0.014"
"2","Algeria","1.01","0.27","0.46","0.71","0.91","1.16","1.42","1.61","1.83","2.1","2.27","1.16","1.16","0.034"
"3","Austria","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"4","Bosnia_and_Herzegovina","0.21","0.07","0.12","0.16","0.19","0.24","0.29","0.33","0.37","0.42","0.49",NA,NA,NA
"5","Bulgaria","3.7","0.89","1.61","2.52","3.32","4.21","5.43","5.88","6.92","7.94","8.79",NA,NA,NA
"6","Croatia","1.64","0.4","0.73","1.14","1.47","1.9","2.29","2.66","3.08","3.51","3.83","1.91","1.9","0.034"
"7","Cyprus","0","0","0","0","0","0","0","0","0","0","0","1.81","0","-1"
"8","Egypt","0.3","0.09","0.15","0.22","0.28","0.33","0.57","0.45","0.5","0.54","0.59","7.72","0.59","0.069"
"9","France","4.7","1.16","2.1","3.28","4.22","5.4","6.66","7.51","8.65","9.82","10.71","1.29","1.16","0.008"
"10","Greece","1.48","0.38","0.67","1.04","1.33","1.7","2.06","2.35","2.71","3.06","3.34","3.03","3.06","0.063"
"11","Hungary","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"12","Israel","1.75","0.45","0.81","1.24","1.59","1.97","2.43","2.76","3.18","3.53","3.88","2.13","1.97","0.034"
"13","Italy","2.32","0.58","1.03","1.62","2.09","2.68","3.31","3.76","4.35","4.95","5.42","2.94","2.68","0.034"
"14","Lebanon","4.27","1.05","1.9","2.96","3.83","4.94","6.29","6.89","7.98","9.03","9.88","2.1","1.9","0.014"
"15","Libya","1.37","0.36","0.64","0.98","1.25","1.56","1.87","2.16","2.5","2.86","3.03","1.16","1.25","0.027"
"16","Luxembourg","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"17","Macedonia","2.3","0.59","1.02","1.6","2.06","2.65","3.3","3.77","4.36","5","5.48","2.5","2.65","0.034"
"18","Montenegro","1.24","0.3","0.54","0.86","1.11","1.41","1.75","2","2.33","2.61","2.94",NA,NA,NA
"19","Morocco","1.75","0.45","0.8","1.23","1.58","2.02","2.46","2.8","3.23","3.65","3.99","1.14","1.23","0.021"
"20","Romania","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"21","Serbia","0.73","0.22","0.32","0.54","0.68","0.85","0.99","1.16","1.35","1.48","1.76","0.68","0.68","0.027"
"22","Slovakia","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"23","Slovenia","5.59","1.36","2.42","3.82","5.15","6.49","8.04","9.45","10.93","12.92","13.89","2.38","2.42","0.014"
"24","Spain","1.72","0.44","0.77","1.2","1.55","1.97","2.4","2.73","3.16","3.57","3.91","2.35","2.4","0.042"
"25","Switzerland","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"26","Syria","1.08","0.28","0.49","0.75","0.97","1.23","1.49","1.7","1.96","2.2","2.4","1.45","1.49","0.042"
"27","Tunisia","0.41","0.13","0.2","0.3","0.37","0.46","0.57","0.64","0.72","0.82","0.9","0.45","0.46","0.034"
"28","Turkey","1.37","0.37","0.63","0.96","1.24","1.58","1.95","2.19","2.52","2.85","3.11","2.09","2.19","0.048"
"29","Uganda","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"30","West_Bank","0.49","0.16","0.25","0.36","0.46","0.56","0.67","0.75","0.86","0.97","1.07",NA,NA,NA
